station;to station;azimuth;distance m
Corral Bluffs;El Paso West Base;181.715955555556000;12078.390
Corral Bluffs;El Paso East Base;229.870955555556000;14875.680
Pikes Peak;Divide;240.799521388889000;52673.500
Pikes Peak;Big Springs;277.919923888889000;69423.130
Bison;Divide;282.015152500000000;87141.540
Bison;Pikes Peak;318.214570555556000;59101.180
Mount Ouray;Bison;214.656225555556000;110377.410
Mount Ouray;Pikes Peak;245.349351944444000;112774.750
Mount Elbert;Bison;260.415603055556000;82965.960
Mount Elbert;Mount Ouray;345.977938333333000;79504.240
Treasury Mountain;Mount Elbert;258.318696944444000;57730.330
Treasury Mountain;Mount Ouray;310.543031944444000;100470.890
Uncompahgre;Treasury Mountain;196.717805000000000;109320.600
Uncompahgre;Mount Ouray;249.832405000000000;115110.460
Tavaputs;Treasury Mountain;288.920370277778000;174569.800
Tavaputs;Mount Waas;9.886050277777780;112740.810
Mount Waas;Treasury Mountain;253.421766111111000;192356.710
Mount Waas;Uncompahgre;288.024402777778000;162926.730
Patmos Head;Tavaputs;267.462240555556000;112788.370
Patmos Head;Mount Waas;318.246658055556000;142552.330
Mount Ellen;Patmos Head;195.601239444444000;159283.420
Mount Ellen;Mount Waas;251.024381388889000;146290.190
Wasatch;Patmos Head;245.971169444444000;107094.020
Wasatch;Mount Ellen;333.019692777778000;123556.310
Mount Nebo;Patmos Head;284.928523333333000;129043.980
Mount Nebo;Wasatch;340.704796944444000;81792.990
Ogden Peak;Mount Nebo;356.328958055556000;154587.310
Ogden Peak;Deseret;37.609949722222200;103450.290
Waddoup;Antelope;102.555509444444000;28390.930
Waddoup;Ogden Peak;180.715717777778000;32539.900
Salt Lake SE Base;Antelope;63.090629722222200;18646.390
Salt Lake SE Base;Salt Lake NW Base;135.744228611111000;11198.680
Salt Lake NW Base;Ogden Peak;242.629493333333000;21683.050
Salt Lake NW Base;Antelope;28.102707222222200;18670.360
Antelope;Ogden Peak;226.626671944444000;38545.880
Antelope;Deseret;31.987108333333300;65696.100
Tushar;Mount Nebo;199.687084722222000;164256.130
Tushar;Wasatch;226.877959722222000;113592.390
Promontory;Ogden Peak;283.400851944444000;46376.980
Promontory;Antelope;335.289781111111000;41043.970
Deseret;Mount Nebo;314.237421111111000;102774.990
Deseret;Ibepah;57.962370277777800;130623.690
Ibepah;Mount Nebo;269.918218888889000;184375.270
Ibepah;Tushar;319.718241388889000;203594.160
Pioche;Wheeler Peak;168.443740000000000;113300.720
Pioche;Tushar;250.982930555556000;151431.850
Pilot Peak;Deseret;296.496209444444000;137517.740
Pilot Peak;Ibepah;354.184390277778000;133144.560
Wheeler Peak;Ibepah;199.826470277778000;99493.310
Wheeler Peak;Tushar;290.222882500000000;176948.000
White Pine;Wheeler Peak;234.053656944444000;127151.820
